date,rate
2021-10-01,0.21223
2021-10-02,0.212072
2021-10-03,0.213037
2021-10-04,0.211773
2021-10-05,0.211617
2021-10-06,0.213618
2021-10-07,0.212514
2021-10-08,0.212414
2021-10-09,0.212306
2021-10-10,0.212308
2021-10-11,0.211433
2021-10-12,0.211882
2021-10-13,0.211683
2021-10-14,0.209534
2021-10-15,0.208208
2021-10-16,0.20823
2021-10-17,0.208338
2021-10-18,0.207952
2021-10-19,0.205563
2021-10-20,0.204655
2021-10-21,0.205472
2021-10-22,0.206208
2021-10-23,0.206105
2021-10-24,0.206192
2021-10-25,0.205489
2021-10-26,0.206011
2021-10-27,0.206365
2021-10-28,0.204781
2021-10-29,0.20656
2021-10-30,0.206891
2021-10-31,0.206793
2021-11-01,0.206037
