date,rate
2021-10-01,62109057086.74307
2021-10-02,61832378684.81288
2021-10-03,63349732289.33699
2021-10-04,61628953591.17999
2021-10-05,61511561337.47509
2021-10-06,62096.954215
2021-10-07,61726.841876
2021-10-08,61526.781067
2021-10-09,62391.239927
2021-10-10,62648.81868
2021-10-11,61113.532657
2021-10-12,61220.700543
2021-10-13,61220.076571
2021-10-14,61504.821273
2021-10-15,61578.623588
2021-10-16,62130.859286
2021-10-17,62675.575509
2021-10-18,61008.224973
2021-10-19,61046.637587
2021-10-20,61433.083573
2021-10-21,61418.406078
2021-10-22,61722.019033
2021-10-23,63067.727126
2021-10-24,63358.722478
2021-10-25,62316.552949
2021-10-26,63167.381221
2021-10-27,63681.517658
2021-10-28,64047.207137
2021-10-29,64802.028317
2021-10-30,66354.849698
2021-10-31,66539.141011
2021-11-01,64205.8435
