date,rate
2021-10-01,2.190479
2021-10-02,2.190532
2021-10-03,2.200501
2021-10-04,2.214321
2021-10-05,2.208983
2021-10-06,2.22524
2021-10-07,2.192372
2021-10-08,2.200118
2021-10-09,2.199189
2021-10-10,2.196906
2021-10-11,2.200701
2021-10-12,2.200656
2021-10-13,2.181038
2021-10-14,2.177951
2021-10-15,2.156092
2021-10-16,2.149465
2021-10-17,2.149535
2021-10-18,2.159513
2021-10-19,2.13804
2021-10-20,2.127829
2021-10-21,2.148651
2021-10-22,2.180854
2021-10-23,2.185779
2021-10-24,2.185967
2021-10-25,2.166306
2021-10-26,2.190253
2021-10-27,2.22686
2021-10-28,2.230884
2021-10-29,2.256045
2021-10-30,2.259404
2021-10-31,2.259568
2021-11-01,2.258722
