date,rate
2021-10-01,0.049457
2021-10-02,0.049601
2021-10-03,0.049574
2021-10-04,0.049097
2021-10-05,0.049077
2021-10-06,0.049171
2021-10-07,0.048782
2021-10-08,0.04872
2021-10-09,0.048666
2021-10-10,0.048723
2021-10-11,0.048413
2021-10-12,0.048249
2021-10-13,0.048302
2021-10-14,0.048034
2021-10-15,0.048179
2021-10-16,0.048156
2021-10-17,0.048147
2021-10-18,0.048159
2021-10-19,0.048007
2021-10-20,0.047732
2021-10-21,0.047909
2021-10-22,0.048015
2021-10-23,0.048097
2021-10-24,0.048098
2021-10-25,0.047862
2021-10-26,0.04797
2021-10-27,0.047819
2021-10-28,0.04768
2021-10-29,0.047789
2021-10-30,0.047718
2021-10-31,0.047702
2021-11-01,0.047898
