date,rate
2021-10-01,0.784774
2021-10-02,0.786336
2021-10-03,0.785337
2021-10-04,0.780042
2021-10-05,0.781508
2021-10-06,0.785393
2021-10-07,0.785905
2021-10-08,0.78269
2021-10-09,0.78206
2021-10-10,0.781997
2021-10-11,0.782368
2021-10-12,0.78206
2021-10-13,0.780894
2021-10-14,0.780564
2021-10-15,0.781782
2021-10-16,0.781487
2021-10-17,0.781467
2021-10-18,0.783983
2021-10-19,0.787533
2021-10-20,0.786545
2021-10-21,0.790188
2021-10-22,0.790862
2021-10-23,0.791646
2021-10-24,0.791556
2021-10-25,0.794911
2021-10-26,0.797348
2021-10-27,0.796358
2021-10-28,0.792506
2021-10-29,0.797696
2021-10-30,0.796065
2021-10-31,0.796465
2021-11-01,0.797
