date,rate
2021-10-01,513.931384
2021-10-02,513.746644
2021-10-03,513.235168
2021-10-04,510.274041
2021-10-05,509.429617
2021-10-06,508.650186
2021-10-07,507.693947
2021-10-08,506.32199
2021-10-09,505.892652
2021-10-10,506.108257
2021-10-11,506.780801
2021-10-12,504.951898
2021-10-13,505.999309
2021-10-14,502.645077
2021-10-15,502.698028
2021-10-16,503.63445
2021-10-17,502.940642
2021-10-18,504.577855
2021-10-19,506.582305
2021-10-20,505.76465
2021-10-21,507.16398
2021-10-22,507.349354
2021-10-23,509.000108
2021-10-24,508.663024
2021-10-25,507.877856
2021-10-26,509.118401
2021-10-27,509.765702
2021-10-28,510.357075
2021-10-29,509.247373
2021-10-30,508.684993
2021-10-31,509.461215
2021-11-01,511.688563
