date,rate
2021-10-01,1.822644
2021-10-02,1.827132
2021-10-03,1.825603
2021-10-04,1.82044
2021-10-05,1.811658
2021-10-06,1.81303
2021-10-07,1.803145
2021-10-08,1.801065
2021-10-09,1.799088
2021-10-10,1.79884
2021-10-11,1.813077
2021-10-12,1.806743
2021-10-13,1.801916
2021-10-14,1.807889
2021-10-15,1.812522
2021-10-16,1.809157
2021-10-17,1.811248
2021-10-18,1.815913
2021-10-19,1.824595
2021-10-20,1.821153
2021-10-21,1.822927
2021-10-22,1.820902
2021-10-23,1.821509
2021-10-24,1.821245
2021-10-25,1.818722
2021-10-26,1.825895
2021-10-27,1.823698
2021-10-28,1.819735
2021-10-29,1.81383
2021-10-30,1.813826
2021-10-31,1.814527
2021-11-01,1.813826
