date,rate
2021-10-01,3781.776172
2021-10-02,3789.900346
2021-10-03,3789.970786
2021-10-04,3784.00742
2021-10-05,3799.008502
2021-10-06,3779.620058
2021-10-07,3767.164279
2021-10-08,3765.301358
2021-10-09,3766.518117
2021-10-10,3766.046515
2021-10-11,3755.706352
2021-10-12,3742.454236
2021-10-13,3720.448324
2021-10-14,3753.131034
2021-10-15,3766.407986
2021-10-16,3762.389821
2021-10-17,3763.175144
2021-10-18,3766.342853
2021-10-19,3766.359784
2021-10-20,3771.543311
2021-10-21,3785.394351
2021-10-22,3783.665396
2021-10-23,3769.18143
2021-10-24,3768.030343
2021-10-25,3770.355396
2021-10-26,3774.856729
2021-10-27,3760.691451
2021-10-28,3765.228304
2021-10-29,3782.139978
2021-10-30,3758.973565
2021-10-31,3758.586914
2021-11-01,3764.664589
