date,rate
2021-10-01,7.785054
2021-10-02,7.785039
2021-10-03,7.785017
2021-10-04,7.787081
2021-10-05,7.784737
2021-10-06,7.785996
2021-10-07,7.784234
2021-10-08,7.783789
2021-10-09,7.784698
2021-10-10,7.784456
2021-10-11,7.778067
2021-10-12,7.781395
2021-10-13,7.779573
2021-10-14,7.777968
2021-10-15,7.778371
2021-10-16,7.777926
2021-10-17,7.77721
2021-10-18,7.779333
2021-10-19,7.775912
2021-10-20,7.774514
2021-10-21,7.774568
2021-10-22,7.772739
2021-10-23,7.774079
2021-10-24,7.774907
2021-10-25,7.77395
2021-10-26,7.775665
2021-10-27,7.777205
2021-10-28,7.777631
2021-10-29,7.778994
2021-10-30,7.779189
2021-10-31,7.779185
2021-11-01,7.780963
