date,rate
2021-10-01,110.968599
2021-10-02,111.066395
2021-10-03,111.097164
2021-10-04,110.922733
2021-10-05,111.39703
2021-10-06,111.349729
2021-10-07,111.49342
2021-10-08,112.158748
2021-10-09,112.245597
2021-10-10,112.316573
2021-10-11,113.374375
2021-10-12,113.709057
2021-10-13,113.485383
2021-10-14,113.585427
2021-10-15,114.292247
2021-10-16,114.337614
2021-10-17,114.2812
2021-10-18,114.23988
2021-10-19,114.277055
2021-10-20,114.227166
2021-10-21,113.756818
2021-10-22,113.57738
2021-10-23,113.491946
2021-10-24,113.485041
2021-10-25,113.698602
2021-10-26,114.221533
2021-10-27,113.731551
2021-10-28,113.338503
2021-10-29,114.043167
2021-10-30,113.969794
2021-10-31,113.991752
2021-11-01,114.349431
