date,rate
2021-10-01,3.75
2021-10-02,3.75
2021-10-03,3.75
2021-10-04,3.75
2021-10-05,3.75
2021-10-06,3.75
2021-10-07,3.75
2021-10-08,3.75
2021-10-09,3.75
2021-10-10,3.75
2021-10-11,3.75
2021-10-12,3.75
2021-10-13,3.75
2021-10-14,3.75
2021-10-15,3.75
2021-10-16,3.75
2021-10-17,3.75
2021-10-18,3.75
2021-10-19,3.75
2021-10-20,3.75
2021-10-21,3.75
2021-10-22,3.75
2021-10-23,3.75
2021-10-24,3.75
2021-10-25,3.75
2021-10-26,3.75
2021-10-27,3.75
2021-10-28,3.75
2021-10-29,3.75
2021-10-30,3.75
2021-10-31,3.75
2021-11-01,3.75
