date,rate
2021-10-01,8.863875
2021-10-02,8.858009
2021-10-03,8.857427
2021-10-04,8.872524
2021-10-05,8.88181
2021-10-06,8.889126
2021-10-07,8.883064
2021-10-08,8.959344
2021-10-09,8.970872
2021-10-10,8.966519
2021-10-11,8.976764
2021-10-12,9.039674
2021-10-13,9.074687
2021-10-14,9.194436
2021-10-15,9.22802
2021-10-16,9.271584
2021-10-17,9.253465
2021-10-18,9.316504
2021-10-19,9.319056
2021-10-20,9.226447
2021-10-21,9.453603
2021-10-22,9.609297
2021-10-23,9.609455
2021-10-24,9.609079
2021-10-25,9.554822
2021-10-26,9.534438
2021-10-27,9.518912
2021-10-28,9.525029
2021-10-29,9.621425
2021-10-30,9.604844
2021-10-31,9.60626
2021-11-01,9.546996
