date,rate
2021-10-01,0.091114
2021-10-02,0.091263
2021-10-03,0.091282
2021-10-04,0.090375
2021-10-05,0.090563
2021-10-06,0.090228
2021-10-07,0.091331
2021-10-08,0.090654
2021-10-09,0.090682
2021-10-10,0.090778
2021-10-11,0.090489
2021-10-12,0.090667
2021-10-13,0.091299
2021-10-14,0.091187
2021-10-15,0.092069
2021-10-16,0.092354
2021-10-17,0.09236
2021-10-18,0.09196
2021-10-19,0.092621
2021-10-20,0.093047
2021-10-21,0.092304
2021-10-22,0.091117
2021-10-23,0.090952
2021-10-24,0.090971
2021-10-25,0.091567
2021-10-26,0.090704
2021-10-27,0.089651
2021-10-28,0.08891
2021-10-29,0.08845
2021-10-30,0.088539
2021-10-31,0.088538
2021-11-01,0.088321
