date,rate
2021-10-01,0.4347
2021-10-02,0.4347
2021-10-03,0.434722
2021-10-04,0.429394
2021-10-05,0.431811
2021-10-06,0.43145
2021-10-07,0.437236
2021-10-08,0.434673
2021-10-09,0.434206
2021-10-10,0.434644
2021-10-11,0.434032
2021-10-12,0.435473
2021-10-13,0.438634
2021-10-14,0.438011
2021-10-15,0.442081
2021-10-16,0.443088
2021-10-17,0.443109
2021-10-18,0.440795
2021-10-19,0.444379
2021-10-20,0.446423
2021-10-21,0.443089
2021-10-22,0.436836
2021-10-23,0.435735
2021-10-24,0.435815
2021-10-25,0.440603
2021-10-26,0.436535
2021-10-27,0.43085
2021-10-28,0.425479
2021-10-29,0.425573
2021-10-30,0.425693
2021-10-31,0.425688
2021-11-01,0.424511
