date,rate
2021-10-01,7.46082
2021-10-02,7.465166
2021-10-03,7.467616
2021-10-04,7.386308
2021-10-05,7.437065
2021-10-06,7.385967
2021-10-07,7.499862
2021-10-08,7.505442
2021-10-09,7.509696
2021-10-10,7.522033
2021-10-11,7.578967
2021-10-12,7.600961
2021-10-13,7.660613
2021-10-14,7.680268
2021-10-15,7.803016
2021-10-16,7.831455
2021-10-17,7.827955
2021-10-18,7.786749
2021-10-19,7.870043
2021-10-20,7.911348
2021-10-21,7.799529
2021-10-22,7.670331
2021-10-23,7.655471
2021-10-24,7.656417
2021-10-25,7.729874
2021-10-26,7.685493
2021-10-27,7.562398
2021-10-28,7.498943
2021-10-29,7.478173
2021-10-30,7.481195
2021-10-31,7.482541
2021-11-01,7.479632
