date,rate
2021-10-01,28.68289
2021-10-02,28.647697
2021-10-03,28.651651
2021-10-04,28.338286
2021-10-05,28.393644
2021-10-06,28.193813
2021-10-07,28.631583
2021-10-08,28.461383
2021-10-09,28.438415
2021-10-10,28.462803
2021-10-11,28.407042
2021-10-12,28.436847
2021-10-13,28.758833
2021-10-14,28.800486
2021-10-15,29.075667
2021-10-16,29.159679
2021-10-17,29.158736
2021-10-18,29.019909
2021-10-19,29.343645
2021-10-20,29.535259
2021-10-21,29.213562
2021-10-22,28.703249
2021-10-23,28.67535
2021-10-24,28.6725
2021-10-25,28.924201
2021-10-26,28.650149
2021-10-27,28.373553
2021-10-28,28.293899
2021-10-29,28.034839
2021-10-30,28.05063
2021-10-31,28.050251
2021-11-01,28.004373
