date,rate
2021-10-01,11.478135
2021-10-02,11.47947
2021-10-03,11.453059
2021-10-04,11.386192
2021-10-05,11.395298
2021-10-06,11.328599
2021-10-07,11.491585
2021-10-08,11.418857
2021-10-09,11.434268
2021-10-10,11.418876
2021-10-11,11.435851
2021-10-12,11.39943
2021-10-13,11.551419
2021-10-14,11.578868
2021-10-15,11.687278
2021-10-16,11.719986
2021-10-17,11.719531
2021-10-18,11.757906
2021-10-19,11.88825
2021-10-20,12.01224
2021-10-21,11.902018
2021-10-22,11.781544
2021-10-23,11.765616
2021-10-24,11.769469
2021-10-25,11.868527
2021-10-26,11.773203
2021-10-27,11.529354
2021-10-28,11.387613
2021-10-29,11.226011
2021-10-30,11.269323
2021-10-31,11.268769
2021-11-01,11.208111
