date,rate
2021-10-01,2.26247
2021-10-02,2.25927
2021-10-03,2.259439
2021-10-04,2.248131
2021-10-05,2.257815
2021-10-06,2.24411
2021-10-07,2.270724
2021-10-08,2.266359
2021-10-09,2.266035
2021-10-10,2.267966
2021-10-11,2.246523
2021-10-12,2.226526
2021-10-13,2.241522
2021-10-14,2.242054
2021-10-15,2.279947
2021-10-16,2.289364
2021-10-17,2.293411
2021-10-18,2.279861
2021-10-19,2.296742
2021-10-20,2.313389
2021-10-21,2.288585
2021-10-22,2.253439
2021-10-23,2.250833
2021-10-24,2.251069
2021-10-25,2.247154
2021-10-26,2.235861
2021-10-27,2.212773
2021-10-28,2.196159
2021-10-29,2.187078
2021-10-30,2.184473
2021-10-31,2.184401
2021-11-01,2.187921
