currency,rate
ARS,266.048166
AUD,3.594613
BWP,30.436135
BRL,14.742568
BND,3.591715
BGN,4.497262
CAD,3.313814
CLP,2157.777665
CNY,17.018358
COP,10305.093609
HRK,17.293083
CZK,58.031408
DKK,17.100451
EUR,2.299413
HKD,20.701725
HUF,825.665134
ISK,345.316261
INR,197.316629
IDR,38071.733078
IRR,111769.434378
ILS,8.271051
JPY,301.658515
KZT,1141.782689
KRW,3142.280048
KWD,0.803186
LYD,12.126771
MYR,11.063709
MUR,114.675664
MXN,54.098738
NPR,317.186480
NZD,3.738819
NOK,22.798995
OMR,1.022606
PKR,452.249524
PHP,133.649170
PLN,10.572256
QAR,9.680851
RON,11.379616
RUB,189.618923
SAR,9.973404
SGD,3.591715
ZAR,40.027439
LKR,536.218941
SEK,22.852624
CHF,2.426191
TWD,74.059564
THB,88.447164
TTD,18.051470
TRY,25.771110
AED,9.767287
GBP,1.969719
USD,2.659574
VEF,1174936.764973
