currency,rate
ARS,73.981657
AUD,0.996668
BHD,0.278440
BWP,8.469643
BRL,4.203275
BGN,1.251609
CAD,0.921190
CLP,603.302548
CNY,4.738257
COP,2825.389715
HRK,4.810016
CZK,16.346905
DKK,4.759760
EUR,0.639937
HKD,5.763689
HUF,229.657512
ISK,96.127501
INR,55.159201
IDR,10602.911804
IRR,31121.064470
ILS,2.321365
JPY,84.398570
KZT,317.897295
KRW,876.591565
KWD,0.223432
LYD,3.374269
MYR,3.075866
MUR,31.870188
MXN,15.431606
NPR,88.668415
NZD,1.038145
NOK,6.316651
OMR,0.284734
PKR,125.884679
PHP,37.493965
PLN,2.937441
QAR,2.695533
RON,3.167285
RUB,53.312195
SAR,2.776991
SGD,1.000000
ZAR,11.424357
LKR,149.215845
SEK,6.344328
CHF,0.676296
TWD,20.627222
THB,24.726287
TTD,5.018583
TRY,7.179766
AED,2.719600
GBP,0.542796
USD,0.740531
VEF,325006.511322
