currency,rate
ARS,4.584555
AUD,0.061943
BHD,0.017232
BWP,0.524477
BRL,0.254045
BND,0.061893
BGN,0.077497
CAD,0.057104
CLP,37.182928
CNY,0.293261
COP,177.577866
HRK,0.297995
DKK,0.294676
EUR,0.039624
HKD,0.356733
HUF,14.227901
ISK,5.950506
INR,3.400170
IDR,656.053926
IRR,1926.016240
ILS,0.142527
JPY,5.198194
KZT,19.675254
KRW,54.147920
KWD,0.013841
LYD,0.208969
MYR,0.190650
MUR,1.976097
MXN,0.932232
NPR,5.465773
NZD,0.064428
NOK,0.392873
OMR,0.017622
PKR,7.793185
PHP,2.303049
PLN,0.182182
QAR,0.166821
RON,0.196094
RUB,3.267522
SAR,0.171862
SGD,0.061893
ZAR,0.689755
LKR,9.240150
SEK,0.393798
CHF,0.041808
TWD,1.276198
THB,1.524126
TTD,0.311064
TRY,0.444089
AED,0.168310
GBP,0.033942
USD,0.045830
VEF,20246.566545
