currency,rate
ARS,12.835818
AUD,0.172922
BHD,0.048309
BWP,1.469483
BRL,0.729268
BND,0.173500
BGN,0.217154
CAD,0.159826
CLP,104.672995
CNY,0.822088
COP,490.205129
HRK,0.834538
CZK,2.836188
DKK,0.825818
EUR,0.111029
HUF,39.845579
ISK,16.678122
INR,9.570122
IDR,1839.605249
IRR,5399.504836
ILS,0.402757
JPY,14.643152
KZT,55.155182
KRW,152.088641
KWD,0.038766
LYD,0.585436
MYR,0.533663
MUR,5.529478
MXN,2.677384
NPR,15.383970
NZD,0.180118
NOK,1.095939
OMR,0.049401
PKR,21.840992
PHP,6.505203
PLN,0.509646
QAR,0.467675
RON,0.549524
RUB,9.249666
SAR,0.481808
SGD,0.173500
ZAR,1.982126
LKR,25.888950
SEK,1.100741
CHF,0.117337
TWD,3.578823
THB,4.290011
TTD,0.870724
TRY,1.245689
AED,0.471851
GBP,0.094175
USD,0.128482
VEF,56388.631285
