currency,rate
ARS,15.384658
AUD,0.207864
BHD,0.057827
BWP,1.760018
BRL,0.852512
BND,0.207697
BGN,0.260061
CAD,0.191627
CLP,124.776923
CNY,0.984114
COP,595.908415
CZK,3.355758
DKK,0.988861
EUR,0.132967
HKD,1.197110
HUF,47.745399
ISK,19.968462
INR,11.410148
IDR,2201.558468
IRR,6463.245164
ILS,0.478287
JPY,17.443883
KZT,66.025398
KRW,181.707337
KWD,0.046445
LYD,0.701250
MYR,0.639777
MUR,6.631303
MXN,3.128345
NPR,18.341812
NZD,0.216203
NOK,1.318388
OMR,0.059134
PKR,26.152047
PHP,7.728476
PLN,0.611358
QAR,0.559811
RON,0.658044
RUB,10.965016
SAR,0.576728
SGD,0.207697
ZAR,2.314650
LKR,31.007712
SEK,1.321489
CHF,0.140298
TWD,4.282612
THB,5.114598
TTD,1.043855
TRY,1.490255
AED,0.564809
GBP,0.113902
USD,0.153794
VEF,67942.585619
