currency,rate
ARS,0.322223
AUD,0.004354
BHD,0.001211
BWP,0.036863
BRL,0.017855
BND,0.004350
BGN,0.005447
CAD,0.004014
CLP,2.613381
CNY,0.020612
COP,12.480960
HRK,0.020944
CZK,0.070284
DKK,0.020711
EUR,0.002785
HKD,0.025073
ISK,0.418228
INR,0.238979
IDR,46.110380
IRR,135.368965
ILS,0.010017
JPY,0.365352
KZT,1.382864
KRW,3.805756
KWD,0.000973
LYD,0.014687
MYR,0.013400
MUR,0.138889
MXN,0.065521
NPR,0.384159
NZD,0.004528
NOK,0.027613
OMR,0.001239
PKR,0.547740
PHP,0.161868
PLN,0.012805
QAR,0.011725
RON,0.013782
RUB,0.229656
SAR,0.012079
SGD,0.004350
ZAR,0.048479
LKR,0.649439
SEK,0.027678
CHF,0.002938
TWD,0.089697
THB,0.107122
TTD,0.021863
TRY,0.031213
AED,0.011830
GBP,0.002386
USD,0.003221
VEF,1423.018505
