currency,rate
ARS,0.006988
AUD,0.000094
BHD,0.000026
BWP,0.000799
BRL,0.000387
BND,0.000094
BGN,0.000118
CAD,0.000087
CLP,0.056677
CNY,0.000447
COP,0.270676
HRK,0.000454
CZK,0.001524
DKK,0.000449
EUR,0.000060
HKD,0.000544
HUF,0.021687
ISK,0.009070
INR,0.005183
IRR,2.935759
ILS,0.000217
JPY,0.007923
KZT,0.029990
KRW,0.082536
KWD,0.000021
LYD,0.000319
MYR,0.000291
MUR,0.003012
MXN,0.001421
NPR,0.008331
NZD,0.000098
NOK,0.000599
OMR,0.000027
PKR,0.011879
PHP,0.003510
PLN,0.000278
QAR,0.000254
RON,0.000299
RUB,0.004981
SAR,0.000262
SGD,0.000094
ZAR,0.001051
LKR,0.014084
SEK,0.000600
CHF,0.000064
TWD,0.001945
THB,0.002323
TTD,0.000474
TRY,0.000677
AED,0.000257
GBP,0.000052
USD,0.000070
VEF,30.861132
