currency,rate
ARS,71.676789
AUD,0.956807
BHD,0.270390
BWP,8.108532
BRL,4.058461
BND,0.970017
BGN,1.214958
CAD,0.889593
CLP,585.003355
CNY,4.599079
COP,2704.198197
HRK,4.666990
CZK,15.906324
DKK,4.621773
EUR,0.621198
HKD,5.596782
HUF,223.618909
ISK,93.178298
INR,53.871193
IDR,10250.456795
IRR,30221.326943
ILS,2.253862
JPY,82.157701
KZT,307.536151
KRW,847.039300
KWD,0.216993
LYD,3.288006
MYR,2.985090
MUR,30.936306
MXN,14.858565
NPR,86.597943
NOK,6.051523
OMR,0.276503
PKR,122.577359
PHP,36.364112
PLN,2.869469
QAR,2.617606
RON,3.074170
RUB,50.983924
SAR,2.696709
SGD,0.970017
ZAR,11.028846
LKR,145.245294
SEK,6.159829
CHF,0.656599
TWD,20.031627
THB,23.983486
TTD,4.873947
TRY,6.863156
AED,2.640977
GBP,0.525817
USD,0.719123
VEF,312629.285483
