currency,rate
ARS,259.822156
AUD,3.500621
BHD,0.977893
BWP,29.744721
BRL,14.766484
BND,3.512557
BGN,4.396178
CAD,3.235795
CLP,2118.956747
CNY,16.641078
COP,9916.779666
HRK,16.894018
CZK,57.412213
DKK,16.718498
EUR,2.247730
HKD,20.242293
HUF,806.668028
ISK,337.610264
INR,193.696843
IDR,37211.181135
IRR,109298.655095
ILS,8.152928
JPY,296.433572
KZT,1116.475960
KRW,3078.470951
KWD,0.784689
LYD,11.851064
MYR,10.802580
MUR,111.902445
MXN,54.195957
NPR,311.367675
NZD,3.646520
NOK,22.188191
PKR,442.140181
PHP,131.668857
PLN,10.322383
QAR,9.466840
RON,11.124510
RUB,187.275754
SAR,9.752926
SGD,3.512557
ZAR,40.123039
LKR,524.038221
SEK,22.283408
CHF,2.375740
TWD,72.440708
THB,86.860093
TTD,17.627520
TRY,25.229438
AED,9.551365
GBP,1.906354
USD,2.600780
VEF,1141382.119645
