currency,rate
ARS,1.971086
AUD,0.026312
BHD,0.007436
BWP,0.222982
BRL,0.111606
BND,0.026675
BGN,0.033411
CAD,0.024463
CLP,16.087382
CNY,0.126473
COP,74.364478
HRK,0.128341
CZK,0.437418
DKK,0.127097
EUR,0.017083
HKD,0.153909
HUF,6.149440
ISK,2.562370
INR,1.481438
IDR,281.883876
IRR,831.075625
ILS,0.061980
JPY,2.259307
KZT,8.457134
KRW,23.293276
KWD,0.005967
LYD,0.090419
MYR,0.082089
MUR,0.850737
MXN,0.408605
NPR,2.381412
NZD,0.027500
NOK,0.166415
OMR,0.007604
PKR,3.370833
PLN,0.078909
QAR,0.071983
RON,0.084539
RUB,1.402040
SAR,0.074159
SGD,0.026675
ZAR,0.303289
LKR,3.994193
SEK,0.169393
CHF,0.018056
TWD,0.550863
THB,0.659537
TTD,0.134032
TRY,0.188734
AED,0.072626
GBP,0.014460
USD,0.019776
VEF,8597.192948
