currency,rate
ARS,2.991272
AUD,0.040302
BHD,0.011258
BWP,0.342444
BRL,0.170003
BND,0.040439
BGN,0.050612
CAD,0.037253
CLP,24.395055
CNY,0.191585
COP,114.169572
HRK,0.194497
CZK,0.660973
DKK,0.192476
EUR,0.025878
HKD,0.233045
HUF,9.286981
ISK,3.886828
INR,2.229987
IDR,428.403651
IRR,1258.329929
ILS,0.093863
JPY,3.412771
KZT,12.853727
KRW,35.441718
KWD,0.009034
LYD,0.136439
MYR,0.124368
MUR,1.288307
MXN,0.623945
NPR,3.584703
NZD,0.041982
NOK,0.255447
OMR,0.011513
PKR,5.090257
PHP,1.515873
PLN,0.118839
QAR,0.108990
RON,0.128074
RUB,2.156062
SAR,0.112283
SGD,0.040439
ZAR,0.461927
LKR,6.033130
SEK,0.256544
CHF,0.027351
TWD,0.833993
TTD,0.202942
TRY,0.290461
AED,0.109963
GBP,0.021947
USD,0.029942
VEF,13140.466183
