currency,rate
ARS,3.586687
AUD,0.048324
BHD,0.013499
BWP,0.410608
BRL,0.203842
BND,0.048489
BGN,0.060687
CAD,0.044668
CLP,29.250912
CNY,0.229720
COP,136.895124
HRK,0.233212
CZK,0.792541
DKK,0.230789
EUR,0.031029
HKD,0.279433
HUF,11.135563
ISK,4.660505
INR,2.673867
IDR,513.677769
IRR,1508.801592
ILS,0.112546
JPY,4.092086
KZT,15.412273
KRW,42.496423
KWD,0.010832
LYD,0.163597
MYR,0.149123
MUR,1.544745
MXN,0.748142
NPR,4.298242
NZD,0.050338
NOK,0.306295
OMR,0.013804
PKR,6.103477
PHP,1.817609
PLN,0.142494
QAR,0.130684
RON,0.153567
RUB,2.585228
SAR,0.134633
SGD,0.048489
ZAR,0.553874
LKR,7.234030
SEK,0.307609
CHF,0.032796
THB,1.199051
TTD,0.243337
TRY,0.348277
AED,0.131851
GBP,0.026316
USD,0.035902
VEF,15756.087366
